v8-version,4,6,85,28,0
code-creation,Stub,11,0x65b7ab13100,220,"BinaryOpICStub(SHL:Int32*Smi->Smi)"
code-creation,Stub,11,0x65b7ab131e0,344,"BinaryOpICStub(SHL:Number*Smi->Smi)"
code-creation,Stub,11,0x65b7ab13340,220,"BinaryOpICStub(SHL:Smi*Smi->Int32)"
code-creation,Stub,11,0x65b7ab13420,220,"BinaryOpICStub(SHL:Smi*Smi->Smi)"
code-creation,Stub,11,0x65b7ab13500,248,"BinaryOpICStub(SHR:Int32*Smi->Smi)"
code-creation,Stub,11,0x65b7ab13600,364,"BinaryOpICStub(SHR:Number*Smi->Int32)"
code-creation,Stub,11,0x65b7ab13780,364,"BinaryOpICStub(SHR:Number*Smi->Smi)"
code-creation,Stub,11,0x65b7ab13900,248,"BinaryOpICStub(SHR:Smi*Smi->Smi)"
code-creation,Stub,11,0x65b7ab13a00,232,"BinaryOpICStub(SUB:Int32*Int32->Int32)"
code-creation,Stub,11,0x65b7ab13b00,442,"BinaryOpICStub(SUB:Int32*Number->Number)"
code-creation,Stub,11,0x65b7ab13cc0,232,"BinaryOpICStub(SUB:Int32*Smi->Int32)"
code-creation,Stub,11,0x65b7ab13dc0,442,"BinaryOpICStub(SUB:Number*Int32->Number)"
code-creation,Stub,11,0x65b7ab13f80,466,"BinaryOpICStub(SUB:Number*Number->Number)"
code-creation,Stub,11,0x65b7ab14160,442,"BinaryOpICStub(SUB:Number*Smi->Number)"
code-creation,Stub,11,0x65b7ab14320,232,"BinaryOpICStub(SUB:Smi*Int32->Int32)"
code-creation,Stub,11,0x65b7ab14420,442,"BinaryOpICStub(SUB:Smi*Number->Number)"
code-creation,Stub,11,0x65b7ab145e0,232,"BinaryOpICStub(SUB:Smi*Smi->Smi)"
code-creation,Stub,11,0x65b7ab146e0,284,"BinaryOpICStub(MOD:Smi*2->Smi)"
code-creation,Stub,11,0x65b7ab14800,284,"BinaryOpICStub(MOD:Smi*4->Smi)"
code-creation,Stub,11,0x65b7ab14920,284,"BinaryOpICStub(MOD:Smi*8->Smi)"
code-creation,Stub,11,0x65b7ab14a40,284,"BinaryOpICStub(MOD:Smi*16->Smi)"
code-creation,Stub,11,0x65b7ab14b60,284,"BinaryOpICStub(MOD:Smi*32->Smi)"
code-creation,Stub,11,0x65b7ab14c80,296,"BinaryOpICStub(MOD:Smi*2048->Smi)"
